ID,Name,Type,Episodes,Aired,Members,Scores
24687,Mushishi Zoku Shou: Odoro no Michi,TV Special,1,Aug 2014 - Aug 2014,"106,312 members",8.42
55888,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,TV,12,Apr 2024 - Jul 2024,"482,549 members",8.42
36538,Natsume Yuujinchou Movie: Utsusemi ni Musubu,Movie,1,Sep 2018 - Sep 2018,"79,530 members",8.42
40730,Tian Guan Cifu,ONA,11,Oct 2020 - Jan 2021,"162,696 members",8.42
39741,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,Movie,1,Sep 2019 - Sep 2019,"453,238 members",8.42
45556,Wu Liuqi: Xuanwu Guo Pian,ONA,10,Jan 2021 - May 2021,"75,482 members",8.42
25781,Shingeki no Kyojin: Kuinaki Sentaku,OVA,2,Dec 2014 - Apr 2015,"541,617 members",8.41
48561,Jujutsu Kaisen 0 Movie,Movie,1,Dec 2021 - Dec 2021,"1,104,748 members",8.41
38040,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Movie,1,Aug 2019 - Aug 2019,"839,326 members",8.41
2246,Mononoke,TV,12,Jul 2007 - Sep 2007,"349,133 members",8.41
36885,Saenai Heroine no Sodatekata Fine,Movie,1,Oct 2019 - Oct 2019,"195,654 members",8.41
33255,Saiki Kusuo no Ψ-nan,TV,120,Jul 2016 - Dec 2016,"1,177,648 members",8.41
34612,Saiki Kusuo no Ψ-nan 2,TV,24,Jan 2018 - Jun 2018,"681,793 members",8.41
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV,12,Jan 2019 - Mar 2019,"1,837,857 members",8.4
30709,Kamisama Hajimemashita: Kako-hen,OVA,4,Aug 2015 - Aug 2016,"176,562 members",8.4
55318,Medalist,TV,13,Jan 2025 - Mar 2025,"57,504 members",8.4
36275,Natsume Yuujinchou Roku Specials,Special,2,Sep 2017 - Oct 2017,"51,368 members",8.4
5028,Major S5,TV,25,Jan 2009 - Jun 2009,"73,911 members",8.39
4921,Ramayana: The Legend of Prince Rama,Movie,1,Jan 1993 - Jan 1993,"13,605 members",8.39
50183,Blue Giant,Movie,1,Feb 2023 - Feb 2023,"39,429 members",8.39
35557,Houseki no Kuni,TV,12,Oct 2017 - Dec 2017,"491,451 members",8.39
35851,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Movie,1,Feb 2018 - Feb 2018,"465,032 members",8.39
56524,Tunshi Xingkong 4th Season,ONA,123,Oct 2023 -,"4,260 members",8.38
46095,Vivy: Fluorite Eye's Song,TV,13,Apr 2021 - Jun 2021,"576,201 members",8.38
38475,Yuru Camp△ Movie,Movie,1,Jul 2022 - Jul 2022,"88,608 members",8.38
40787,Josee to Tora to Sakana-tachi,Movie,1,Dec 2020 - Dec 2020,"476,517 members",8.38
49721,Karakai Jouzu no Takagi-san 3,TV,12,Jan 2022 - Mar 2022,"200,986 members",8.38
37965,Kaze ga Tsuyoku Fuiteiru,TV,23,Oct 2018 - Mar 2019,"318,610 members",8.38
37515,Made in Abyss Movie 2: Hourou Suru Tasogare,Movie,1,Jan 2019 - Jan 2019,"151,972 members",8.38
14397,Chihayafuru 2,TV,25,Jan 2013 - Jun 2013,"244,611 members",8.38
5,Cowboy Bebop: Tengoku no Tobira,Movie,1,Sep 2001 - Sep 2001,"395,644 members",8.38
32366,Gintama°: Aizome Kaori-hen,OVA,2,Aug 2016 - Nov 2016,"89,726 members",8.38
55102,Girls Band Cry,TV,13,Apr 2024 - Jun 2024,"109,755 members",8.38
31646,3-gatsu no Lion,TV,22,Oct 2016 - Mar 2017,"706,898 members",8.37
22789,Barakamon,TV,12,Jul 2014 - Sep 2014,"689,362 members",8.37
5941,Cross Game,TV,50,Apr 2009 - Mar 2010,"129,164 members",8.37
49310,Fruits Basket: Prelude,Movie,1,Feb 2022 - Feb 2022,"120,473 members",8.37
38883,Haikyuu!! To the Top,TV,13,Jan 2020 - Apr 2020,"998,325 members",8.37
56523,Tunshi Xingkong 3rd Season,ONA,33,Sep 2022 - Apr 2023,"3,739 members",8.37
5205,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),Movie,1,Aug 2009 - Aug 2009,"213,590 members",8.37
9756,Mahou Shoujo Madoka★Magica,TV,12,Jan 2011 - Apr 2011,"1,348,567 members",8.37
11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Movie,1,Oct 2012 - Oct 2012,"211,869 members",8.37
60544,Nezha Zhi Mo Tong Nao Hai,Movie,1,Jan 2025 - Jan 2025,"3,160 members",8.37
9260,Kizumonogatari I: Tekketsu-hen,Movie,1,Jan 2016 - Jan 2016,"556,902 members",8.36
39808,Non Non Biyori Nonstop,TV,12,Jan 2021 - Mar 2021,"132,839 members",8.36
6945,Gintama: Shiroyasha Koutan,Special,1,Sep 2008 - Sep 2008,"73,120 members",8.36
39167,Girls & Panzer: Saishuushou Part 4,Movie,1,Oct 2023 - Oct 2023,"21,796 members",8.36
30,Shinseiki Evangelion,TV,26,Oct 1995 - Mar 1996,"1,917,514 members",8.36
39551,Tensei shitara Slime Datta Ken 2nd Season,TV,12,Jan 2021 - Mar 2021,"1,043,847 members",8.36
53672,Violet Evergarden: Recollections,Special,1,Oct 2021 - Oct 2021,"38,985 members",8.36
37095,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",Special,1,Jul 2018 - Jul 2018,"352,687 members",8.35
55809,Xian Ni,ONA,128,Sep 2023 -,"6,451 members",8.35
39547,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,TV,12,Jul 2020 - Sep 2020,"777,863 members",8.35
9617,K-On! Movie,Movie,1,Dec 2011 - Dec 2011,"343,495 members",8.35
572,Kaze no Tani no Nausicaä,Movie,1,Mar 1984 - Mar 1984,"397,073 members",8.35
49926,Kimetsu no Yaiba: Mugen Ressha-hen,TV,7,Oct 2021 - Nov 2021,"868,514 members",8.35
49458,Kono Subarashii Sekai ni Shukufuku wo! 3,TV,11,Apr 2024 - Jun 2024,"486,324 members",8.35
53540,Meitantei Conan Movie 26: Kurogane no Submarine,Movie,1,Apr 2023 - Apr 2023,"15,866 members",8.35
